출처,포함여부,분류,서비스,이슈,가격언급,제목,근거,URL
DC인사이드,제외,분석 제외,예물·혼수,,,손가락 3개..,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=75609
DC인사이드,제외,분석 제외,,,,신혼여행 질문,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=71723
DC인사이드,제외,분석 제외,,계약·취소·환불,,신혼집 전세 계약했는데 남편이 등기부등본 확인 안 했다고 함 ㄷㄷ,신혼집 전세 계약했는데 남편이 등기부등본 확인 안 했다고 함 ㄷㄷ 신혼집 전세 계약했는데 남편이 등기부등본 확인 안 했다고 함 ㄷㄷ 사기당할뻔 2026.06.19 12:58:47 스크랩 조회 149 추천 0 댓글 0 저번 달에 친구가 결혼 준비하면서 신혼집 전세 계약했는데 나중에 알고보니 남편이 등기부등본 확인을 제대로 안 했다는 거 근저…,https://gall.dcinside.com/board/view/?id=wedding&no=77633
DC인사이드,제외,분석 제외,,,,신혼집 전세 집주인이 다주택자더라,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=78198
DC인사이드,제외,분석 제외,,,,아 다음 전세 계약 어카냐?,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=74488
DC인사이드,제외,분석 제외,,,,아벨두두의 결혼모델 공개,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=79098
DC인사이드,제외,분석 제외,,,,앞으로 성매매 합법화 되면 결혼율 바닥칠 거다,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=77624
DC인사이드,제외,분석 제외,,,,여자가 원룸에서 시작하자고 하면 요즘 남자분들,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=78094
DC인사이드,제외,분석 제외,,,,여자가 처녀가 아니면 어차피 '결혼'이 아니라 '거래'야,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=72099
DC인사이드,제외,분석 제외,,,,여자는 못생겨도 자기관리하니 결혼이 되더라고,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=75174
DC인사이드,제외,분석 제외,드레스,,,여자들 결혼준비전에 하는말 다 구라니 명심..,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=73619
DC인사이드,제외,분석 제외,,계약·취소·환불,,여자친구가 내가준 선물 환불하라하면 어떰,여자친구가 내가준 선물 환불하라하면 어떰 여자친구가 내가준 선물 환불하라하면 어떰 모바일에서 작성 결갤러 (223.38) 2026.04.28 22:20:00 스크랩 조회 170 추천 0 댓글 1 선물 맘에안들고 이런거에 돈쓰게하는거싫다고 그냥 환불하자고 하면 헤어짐?,https://gall.dcinside.com/board/view/?id=wedding&no=74511
DC인사이드,제외,분석 제외,웨딩홀,,,여친이 왜 결혼하자고 안하냐고 물어보는데,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=78204
DC인사이드,제외,분석 제외,,,,예비신부인데 신혼집 전세 계약 전에 이거 했음,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=78866
DC인사이드,제외,분석 제외,,가격·견적 정보,,오늘 지하철에서 장애남 봄,의무가 아니야!!!배려는 의무가 아니야!!!” 화내는데(대체 누구한테?) 정확히 무슨 장애인진 모르지만 어투에서 특유의 장애끼가 묻어났음 아무도 장애남이랑 눈 안 마주치려고 노력하더라 애미는 부끄러운지 고개숙이고 아무대꾸도 안함 오늘 본 저 장애남이 인터넷에서 하루에도 수십개씩 여혐글 싸지르는 새끼들 견적일듯 인생에서 제일 화나는게 임산부…,https://gall.dcinside.com/board/view/?id=wedding&no=74037
DC인사이드,제외,분석 제외,메이크업,,,오지콤한테 당하다 두줄 떠버려 ㅈ된 20대 여자..ㄷㄷ,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=72475
DC인사이드,제외,분석 제외,,,,와근데 ㄹㅇ 편의점 수익 0원 개노답이다ㅋㅋ,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=71992
DC인사이드,제외,분석 제외,,계약·취소·환불,"2만원, 5만원, 7만원",왜 전남친에게 처녀주고 나이먹고 다른놈이랑 결혼하려함?,예를들면) 가게에서 5만원에 물건 샀어 마음에 안들면 영수증 들고 5만원 환불하는게 맞지 이물건 중고 5만원인데 제가 2만원 있거든요 이러면서 중고 판매로 7만원에 팔려는게 이상한거 아님?,https://gall.dcinside.com/board/view/?id=wedding&no=69525
